Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-July-2020,1908.50,1947.00,1900.10,1934.30,1927.937984816500928304,1572760,57783,3032183745.00,323731,20.58,46.90,25.80
10-July-2020,1829.90,1884.40,1824.60,1878.50,1860.721808434602408708,1140279,62940,2121742003.00,309166,27.11,59.80,48.60
9-July-2020,1807.50,1834.40,1787.00,1824.60,1813.963021099200272247,705240,24809,1279279281.00,78673,11.16,47.40,17.10
8-July-2020,1826.00,1834.80,1790.10,1797.35,1812.846688414935029332,583648,27939,1058064344.00,150101,25.72,44.70,-28.65
7-July-2020,1870.00,1870.00,1806.40,1823.95,1831.450977195747070224,717717,31864,1314463501.00,132118,18.41,63.60,-46.05
6-July-2020,1801.15,1858.00,1792.00,1851.40,1833.562389077132273248,949421,34782,1740822637.00,281397,29.64,66.00,50.25
3-July-2020,1781.05,1792.80,1768.50,1787.50,1780.471993495730114792,857283,33193,1526368372.00,254855,29.73,24.30,6.45
2-July-2020,1750.00,1766.80,1734.40,1760.55,1755.869656461646900186,815775,34143,1432394569.00,287697,35.27,32.40,10.55
1-July-2020,1718.00,1748.65,1708.75,1737.90,1730.642032834688300670,469138,18240,811909942.00,140927,30.04,39.90,19.90
30-June-2020,1736.30,1740.70,1696.00,1703.35,1719.473482418462251182,992945,24538,1707342597.00,261231,26.31,44.70,-32.95
29-June-2020,1728.00,1738.90,1715.00,1723.15,1723.158931334846524510,670107,24679,1154700862.00,288690,43.08,23.90,-4.85
26-June-2020,1730.35,1751.50,1717.20,1742.60,1735.044966062123423848,1385178,38748,2403346116.00,402954,29.09,34.30,12.25
25-June-2020,1729.00,1749.00,1713.85,1717.95,1730.230558903364662716,654657,22821,1132707547.00,176149,26.91,35.15,-11.05
24-June-2020,1739.80,1772.00,1712.60,1727.35,1742.330689676490589700,1358724,39757,2367346524.00,188266,13.86,59.40,-12.45
23-June-2020,1754.00,1764.15,1715.80,1720.05,1732.501243785689113421,1353529,42809,2344990676.00,246692,18.23,48.35,-33.95
22-June-2020,1775.05,1804.10,1734.85,1747.20,1772.519036916152142150,2036832,65327,3610323495.00,283151,13.90,69.25,-27.85
19-June-2020,1674.70,1788.60,1660.60,1759.50,1714.816366618816047083,2929255,91477,5023134416.00,1015358,34.66,128.00,84.80
18-June-2020,1605.55,1665.00,1605.55,1656.25,1638.078191337758768110,1013987,40623,1660989991.00,390706,38.53,59.45,50.70
17-June-2020,1608.00,1634.95,1602.00,1615.40,1614.857626190171501440,890838,24804,1438576538.00,308685,34.65,32.95,7.40
16-June-2020,1641.50,1647.85,1585.15,1617.50,1617.347403926629502336,1267703,54561,2050316156.00,261683,20.64,62.70,-24.00
15-June-2020,1577.00,1626.70,1561.55,1615.00,1594.792952727918962146,1125400,44253,1794779989.00,192008,17.06,65.15,38.00
12-June-2020,1495.00,1593.00,1495.00,1588.80,1551.604175650284432669,772239,29168,1198209257.00,129587,16.78,98.00,93.80
11-June-2020,1569.00,1569.00,1530.95,1537.50,1546.550663322353510017,330910,16229,511769080.00,94120,28.44,38.05,-31.50
10-June-2020,1541.10,1579.00,1540.60,1572.00,1558.718947086295186795,421611,18078,657173054.00,83326,19.76,38.40,30.90
9-June-2020,1580.00,1582.35,1533.05,1537.10,1555.926913366915427815,504634,21273,785173622.00,100603,19.94,49.30,-42.90
8-June-2020,1624.00,1624.00,1565.05,1570.05,1586.697901865208554418,1111940,30116,1764312865.00,173493,15.60,58.95,-53.95
5-June-2020,1601.90,1617.70,1574.30,1580.60,1595.635680719799029777,658406,28276,1050576106.00,133745,20.31,43.40,-21.30
